phrase,label
LOGIN/REGISTER,dark_pattern
00Days17Hours12Mins13Secs,dark_pattern
 Women's Bags ,recommendation
"We're sorry, this store is closed.",recommendation
3 people are looking at this item right now,dark_pattern
"Someone from Menlo Park, California just purchased Electric Skateboard Motor 6374 190KV.",dark_pattern
"Hurry, Limited Time Offer! 11:25",dark_pattern
 Search Close ,recommendation
"touching, funny and romantic",recommendation
"We'd like to keep you informed via email about product updates, upgrades, special offers and pricing. If you do not wish to be contacted via email, please ensure that the box is not checked.",dark_pattern
Only 2 stock available,dark_pattern
Hurry! Only 3 Left In Stock.,dark_pattern
"◊After 1 year, subscription auto renews with fee. Review your iFit® Coach account on a computer, tablet, smartphone, or equipment console.",dark_pattern
" Sorry, we could not process your request at the moment. Please try again in a few minutes. ",recommendation
 Jersey GBP,recommendation
My Account ,recommendation
"No Thanks, I Don't Want a Discount",dark_pattern
Hair Grooming Appliances,recommendation
"WOULD YOU LIKE A FREE NEXT DIRECTORY? Explore all the latest collections from your free Next Directory. By opting in to receive the Next Directory you agree that we may send you, at our discretion, further Directories usually in January and July each year, at a charge of £3.75 per publication. You also agree to receive supplementary Directories and ‘New In’ publications at no additional charge.",dark_pattern
Pedal Refresh Kit - Doubleshot,recommendation
I'd rather pay full price,dark_pattern
Hurry up! Sales Ends in DAYS HRS MINS SECS by Beeketing ,dark_pattern
Only 8 items left in stock!,dark_pattern
ONLY 1 LEFT IN STOCK!,dark_pattern
Subscribe & Save (15%): $ 16.99,dark_pattern
Shop Plus Shorts by Pattern,recommendation
 Dry Direct Incontinence Personal Care Daily Living Safety Bedroom Nutrition Mobility Lift Aids Medical Supplies Plus Size ,recommendation
Clarity Remotes,recommendation
Summary,recommendation
 Limited Edition Colors ,recommendation
"For instance, we use cookies allowing us to remember information provided by the users from a page to another, choices made by users and information provided by users (name, language preference, country of residence…). In particular, we use the following functional cookies: ",recommendation
FRAMON #2 Code Machine Offer - Limited time offer!,dark_pattern
Jewelry and Watches,recommendation
Limited stock!,dark_pattern
Hurry! Only 2 left in stock!,dark_pattern
*,recommendation
SLEEP EVENT OFFERS - LIMITED TIME ONLY,dark_pattern
This chart should be used as a guide only. Due to each manufacturer’s size scale inconsistencies may occur.,recommendation
Only 1 left in Stock!,dark_pattern
Competitions,recommendation
 Shop All Men's Boots ,recommendation
Expand My eBay,recommendation
"Oliver in Rotterdam, Netherlands purchased a England Away Soccer Shorts 2018 About 9 hours ago",dark_pattern
"Jumpers, Shirts & T-Shirts",recommendation
Media Players,recommendation
Only 3 left In Stock,dark_pattern
Father's Day Gifts,recommendation
Enjoy FREE shipping with WSJwine Advantage,dark_pattern
only 2 left!,dark_pattern
Only 1 in stock,dark_pattern
Only 8 item(s) left.,dark_pattern
Spring Sale Extended,dark_pattern
"No, I don't want a discount",dark_pattern
"No thanks, I don't want the free gift.",dark_pattern
Extra Soft Cleansing Wipes,recommendation
Men's Accessories ,recommendation
jennifer just bought Rainbow Moonstone Healing Heartabout 6 hours ago,dark_pattern
SAVE $300.00\nfor limited time,dark_pattern
Enter Catalog/Email Code,recommendation
"[NO THANKS, I'LL JUST WALK]",dark_pattern
Yaris Remotes,recommendation
Currently 8 left in stock.,dark_pattern
"NO, I DON'T FEEL LUCKY",dark_pattern
Currently less than 10 available,dark_pattern
Ends Sunday! $200 off any mattress . free shipping & free returns!,dark_pattern
Stay on Next.co.uk,recommendation
Only 8 left!,dark_pattern
Only 1 items left in stock!,dark_pattern
___,recommendation
View All Home Accessories,recommendation
"Healing Crystals are natural beings just like the trees, mountain or flowers. The result of diverse chemical reactions inside the earth over a millennium, gemstones are a true wonder of nature. When you touch a healing crystal, there is a transfer of heat and energy that leads to activation of chakra points. These therapeutic powers noticed in the presence of gemstones are the reason they are called healing crystals. With some crystals as old as the earth, there is immense wisdom in crystal use.",recommendation
How to cast on,recommendation
Tree Frog Terrariums,recommendation
9 people are currently viewing this product,dark_pattern
ONLY 1 WATCH LEFT,dark_pattern
2+ people just viewed this product,dark_pattern
94% offers claimed. Hurry up!,dark_pattern
I'D RATHER PAY FULL PRICE,dark_pattern
KidsAuthentic,recommendation
*** Get 50% Off Your 2nd Case OR a Canopy Screen Protector *** A 50% OFF discount will be automatically applied to the lowest priced item in your cart when you check out with more than one item! (excludes Clearance items) Click to Choose Another Item,dark_pattern
Country (Optional),recommendation
Hair treatments,recommendation
Product Recycling,recommendation
Purchase protection added,dark_pattern
Only 6 items left,dark_pattern
39 people have this in their cart,dark_pattern
 Sunflower ,recommendation
23% left in stock!,dark_pattern
Gold Collection,recommendation
In Stock. Only 1 Left!,dark_pattern
Status:Only 3 left in stock,dark_pattern
No thanks - I don't want to save money,dark_pattern
Amazing service and quality! Lee up the excellent work.,recommendation
Today's sale ends in: 00hours:57min:19sec,dark_pattern
ONLY 7 LEFT!,dark_pattern
"Business, Office & Industrial",recommendation
My Story,recommendation
8 people are looking at this artwork,dark_pattern
 Coffee ,recommendation
Add on something to make it extra special!,dark_pattern
 Take time to pay.,recommendation
OFFER ENDS 00:54:59,dark_pattern
Other Items On Special Offer:,dark_pattern
"You may change the items in your order, or cancel the Smartship at anytime, up until 3 days prior to the scheduled ship date of your Smartship by calling Customer Service at 1-800-518-0284.",dark_pattern
LIMITED TIME SALE,dark_pattern
"NO THANKS, I DON'T WANT TO SAVE",dark_pattern
Authenticity Guaranteed,recommendation
 GeekVape Pursue a Healthy Vaping Experience ,recommendation
320 items left,dark_pattern
HURRY! 3 left in stock!,dark_pattern
Nectar,recommendation
 My Project Lists ,recommendation
Adjustable Cuffs With Inner Knitted Cuff,recommendation
Tribeca Remotes,recommendation
Brand ,recommendation
I would like to join Backstage Pass & agree to the Terms & Conditions & to receive emails & other promotional offers.,dark_pattern
"The Dry Direct Ultimate is a great product, the best we have found. Customer service is very efficient, and deliveries have always been on time. We are very satisfied with Parentgiving in all aspects.",recommendation
(ONLY 1 LEFT IN THIS SIZE!),dark_pattern
Only 65 Items Left.,dark_pattern
Only 3 left in stock.,dark_pattern
I Don't Like to Save Money,dark_pattern
"In Stock, Only 1 Left!",dark_pattern
Really good quality contacts and they work well on my eyes. Would definitely order again!!!!,recommendation
Explosive Offers! 80% Off Everything 07:25:41,dark_pattern
Warne Mounts,recommendation
Report a Fake Product,recommendation
 Shop All NFL ,recommendation
Tapestry Guide,recommendation
Only 4 left,dark_pattern
I absolutely loved it! It made everyone laugh and my desk gets an obscene amount of compliments for it. The quality is superb! I am now definitely going to be a loyal shopper at PosterGully,recommendation
Decades Shop,recommendation
I'LL PAY FULL PRICE,dark_pattern
gifts for wife,recommendation
Hurry only 1 left!,dark_pattern
Only 8 item(s) left,dark_pattern
"No thanks, I’d rather not win.",dark_pattern
"LOW IN STOCK, only 2 left",dark_pattern
74% offers claimed. Hurry up!,dark_pattern
Color Block,recommendation
I'd rather not save,dark_pattern
Only 2 left in stock!,dark_pattern
You have no items in your basket.,recommendation
"no thanks, I hate fun & games",dark_pattern
00 Days 02 Hrs 26 Mins 12 Sec Sale Ends Once The Timer Hits Zero!,dark_pattern
Soft Flexible (Classic) ,recommendation
Glasses and Goggles,recommendation
 Zero Gravity Lift Chairs ,recommendation
"Bobby in Decatur, United States just purchased",dark_pattern
"tuvia eisenberg Systematics in Tel Aviv, Israel purchased a",dark_pattern
Your Cart Will Expire In 09:58 minutes!Please note that these items may not be available again if you release them.,dark_pattern
All Cross Stitch Patterns,recommendation
 Year of Ours ,recommendation
Gear Up,recommendation
"Weight Management Shakes help cut cals, control appetite, and drop LBS.* Learn more about Weight Management Shakes.",recommendation
Tretorn,recommendation
 Loyalty Points ,recommendation
 How to Recycle ,recommendation
 Color Yellow Smoke Blue Pink Orange,recommendation
SAVE 10% On All Orders. No Voucher Code Needed Expires in 18:07:59.,dark_pattern
Art & Crafting Tools,recommendation
One customer bought this article in the last 53 min.,dark_pattern
 Highlight Hover ,recommendation
 Disposable Washcloths ,recommendation
Accuscreens,recommendation
 Jumpers + Sweaters ,recommendation
 Contact Lens Washer ,recommendation
Only 9 Left!,dark_pattern
Hurry! Only 2 left!,dark_pattern
2 people are looking at this listing now,dark_pattern
Every Purchase Helps Your NRA:,recommendation
1 left at this price,dark_pattern
 BACK TO TOP ,recommendation
ONLY 12.5M LEFT IN STOCK!,dark_pattern
Protect Your Gear,dark_pattern
 Outdoor Recreation ,recommendation
Allow All,recommendation
We are currently accepting and processing orders from following:,recommendation
What could have caused this?,recommendation
210+ bought,dark_pattern
"No thanks, I'm not interested in saving money.",dark_pattern
 SHIPPING INFO ,recommendation
"Plus, get free shipping on your first order!",recommendation
BMW Remotes,recommendation
All You™,recommendation
Someone in Mount Louisa bought a Coleman Folding Table & Bench Set 2 minutes ago,dark_pattern
 Summer Casual Printed Short Sleeve T-Shirt ,recommendation
 Join NRA or Renew,recommendation
Don't forget the essentials Get up to 2 years of accidental damage coverage with AppleCare+.,dark_pattern
Know exactly what’s going on at home and be alerted of emergencies in real time. ,recommendation
Become an Affiliate,recommendation
Competitor Price: $172.00,dark_pattern
"No thanks, I'd rather pay more",dark_pattern
6 items left! Order soon.,dark_pattern
Sports ,recommendation
ONLY 20 LEFT IN STOCK,dark_pattern
Immunity & Well BeingLean Muscle MassWeight LossBulk GainStress & Relaxation,recommendation
By Brand All Men's Brands ,recommendation
Customer Feedback,recommendation
 Read the FAQ ,recommendation
ONLY 1 LEFT,dark_pattern
"No thanks, I don't want 15% off",dark_pattern
"The presence of flowers is enough to make any occasion or moment truly a memorable affair. Flowers can make an ordinary room extremely beautiful. Flowers are widely used in decorations, as gifts, or even as ornaments on various dresses. People can explore a variety of fresh vibrant flowers such as roses, tulips, orchids, carnations, sunflowers, chrysanthemums and a lot more through the help of our online gifting store. All these beautiful flowers will be delivered at your desired destination in blooming condition only. With an unmatched beauty and fragrance, these gorgeous and lovely flowers can easily mesmerise any individual in an effortless manner.",recommendation
"Ashley in Auburn, United States purchased a Check Plz iPhone X/Xs Case about 24 minutes ago",dark_pattern
99 people are looking at this right now,dark_pattern
"Someone from South Gate, California just purchased the Admiral JR / Spektrum Servo Connector Plug Set (Male and Female - 2 Pairs)",dark_pattern
Medium GreyLogan T-Shirt Jersey Comforter and Sham Set,recommendation
 All Birthday Gifts ,recommendation
Rainbow Li,recommendation
• Recommended to be used with Downy for better long lasting freshness ,recommendation
cookie host,recommendation
Only 4 left!,dark_pattern
Almost Sold Out! Only 2 Left.,dark_pattern
Pay With:,recommendation
Days left until the offer ends: 00 Days 04:43:35,dark_pattern
 Data Processor Privacy Policy: https://videoly.co/privacy-policy ,recommendation
 School Shoes,recommendation
 V-neck Casual Loose Embroidered Short Sleeve Blouse ,recommendation
Spin to unlock your mystery offer,dark_pattern
Only 2 items left in stock.,dark_pattern
104 people viewed this product recently!,dark_pattern
Material: Made with Cordura fabric,recommendation
"Armin Dinovic bought 10M Runescape 3 Gold Order total: 3,70€ About 10 seconds ago",dark_pattern
Recent searches,recommendation
"Gorgeous, lasting high-quality hair color—crafted in Italy.",recommendation
Only A Few Left,dark_pattern
 Apple iPhone X » ,recommendation
Rebecca in Buffalo just bought Sateen Twill Swatchabout 1 hour ago,dark_pattern
Certified Face Masks,recommendation
 Price Low To High ,recommendation
1 in stock,dark_pattern
"Leah Rich in Louisville, United States purchased a",dark_pattern
Home + Tech Almost Gone,recommendation
SAVE TODAY: Save 20% on lighting by Le Klint. Limited time only.,dark_pattern
Only 3 Left! Get it before it`s gone!,dark_pattern
"No thanks, I'll be the last to know.",dark_pattern
Hurry Up ! Just 2 Items Left in stock,dark_pattern
Toe Ring,recommendation
Women's Acid Wash Scoopneck Sweater,recommendation
62 people have looked at this item in the last few hours.,dark_pattern
Boys Grey School Uniforms,recommendation
8 customers have bought today,dark_pattern
My Reviews,recommendation
Last 1 in stock,dark_pattern
Skin Concerns,recommendation
Only 1 left!,dark_pattern
Only a few left,dark_pattern
Romper Swimwear,recommendation
 View All Mattress Accessories ,recommendation
The page you were looking for doesn't exist.,recommendation
A very fun outfit for a less formal event like a sangeet! Husband said the bell bottom type pants were fun to dance in :),recommendation
 Chair Accessories ,recommendation
"No Thanks, I'll let this offer sail away",dark_pattern
Stay in the Know,recommendation
 V-neck Casual Loose Vintage Print Short Sleeve T-shirt ,recommendation
Limited stock available,dark_pattern
Thank you for posting a question!,recommendation
Installation InstructionsPolicies & Terms of UseFinancingSite Map,recommendation
Golf Shop,recommendation
 Plastic ,recommendation
Synthesis XCT Alloy Front Wheel,recommendation
Hugs and Kisses Rose Bouquet $44.99 Discount -$6.75 Delivery $13.99 Tax $3.46 Item Total $55.69,dark_pattern
Shop Tops by Pattern,recommendation
Striped Tops,recommendation
My AccountSign-in to your account,recommendation
"Due To HIGH Demand, Cart Expires In: 08:41",dark_pattern
ONLY 3 LEFT! GET IT NOW!,dark_pattern
5 people are looking at this product right now,dark_pattern
 Get The Look The Full Story Shop Now Read More ,recommendation
Don’t worry. We’ve got your back.,recommendation
Hurry up! Discount Ends in DAYS HRS MINS SECS,dark_pattern
Extremely high demand: expect 2-4 weeks for it to arrive (to be safe). Limit 4 per person!,dark_pattern
 C.P. Company ,recommendation
In other users' carts 59,dark_pattern
Nicholas Kirkwood,recommendation
Aids mental processing†,recommendation
"Awhi from Hicks Bay, Gisborne, New Zealand just bought",dark_pattern
 Crossbody & Belt Bags ,recommendation
clear text ,recommendation
24 people currently interested,dark_pattern
 Worldwide ,recommendation
"IF YOU PARTICIPATE IN AN AUTOMATIC RENEWAL SUBSCRIPTION AND YOU HAVE PROVIDED US WITH A VALID CREDIT CARD NUMBER OR AN ALTERNATE PAYMENT METHOD, EACH SHIPMENT WILL BE AUTOMATICALLY PROCESSED AT THE TIME OF EACH SHIPMENT OR INSTALLMENT AND WILL BE BILLED TO THE PAYMENT METHOD YOU PROVIDED TO US AT THE TIME OF YOUR INITIAL PURCHASE AND AGREEMENT TO PARTICIPATE IN THE PROGRAM. IF YOU WISH TO CANCEL YOUR PARTICIPATION IN AN AUTOMATIC RENEWAL SUBSCRIPTION, YOU MAY DO SO AT ANY TIME BY CONTACTING A CUSTOMER CARE PROFESSIONAL AT THE CONTACT INFORMATION PROVIDED ON THE WEBSITE.",dark_pattern
AboutOur StoryOur MissionOur ProductsIn the News,recommendation
5 Viewing This Product,dark_pattern
23 People viewing this product,dark_pattern
Activate within 0:30:00,dark_pattern
Concrete Tools,recommendation
Transmission and Driveline,recommendation
"James in Cashion, Oklahoma just bought Glossy Black Brick Geode / Amber Gradient Fast Lanes",dark_pattern
Fast Mover: 35 PEOPLE added this to cart today!,dark_pattern
"Metal - Brass , hollow from inside ",recommendation
"No thank you, I prefer to pay full price",dark_pattern
 to read up about,recommendation
• State-by-State Restrictions,recommendation
DON'T LET 'EM GET AWAY Several people have recently viewed this item.,dark_pattern
No thanks. I prefer paying full price.,dark_pattern
"Crystal Li in Flushing, United States purchased a",dark_pattern
Only 5 Left in Stock. Buy Soon!,dark_pattern
 PG Picks: Skin Care for Incontinence ,recommendation
"Carl F. from Fort Ann, NY bought a King",dark_pattern
137 users are currently active on our website,dark_pattern
Reloading Tools,recommendation
"Edwin in Woodland Park, NJ just bought",dark_pattern
Returns / Warranty,recommendation
83% offers claimed. Hurry up!,dark_pattern
Loading,recommendation
Institute for Legislative Action,recommendation
Clearance! Only 4 left in stock.,dark_pattern
"from Korea, South",recommendation
"Jeremy in Stockton, United States purchased a",dark_pattern
Only 4 Left!,dark_pattern
 Alchemy Books ,recommendation
"When you visit any website, it may store or retrieve information on your browser, mostly in the form of cookies. This information might be about you, your preferences or your device and is mostly used to make the site work as you expect it to. The information does not usually directly identify you, but it can give you a more personalized web experience. Because we respect your right to privacy, you can choose not to allow some types of cookies. Click on the different category headings to find out more and change our default settings. However, blocking some types of cookies may impact your experience of the site and the services we are able to offer. ",recommendation
Only 1 products left,dark_pattern
1 left in stock,dark_pattern
🔥 9 people are viewing this.,dark_pattern
715 people have added this item to cart,dark_pattern
 Black / White Refine by Color: Black / White ,recommendation
Call It Spring,recommendation
Bathroom Basins,recommendation
Infrared Night Vision,recommendation
Download mobile app,recommendation
 Write a reviewAsk a question,recommendation
00DAYS02HRS14MINS1211SEC,dark_pattern
RegionBracket Right,recommendation
Boxster Remotes,recommendation
24 people have purchased this wine today,dark_pattern
Rare Book Conditions ,recommendation
Hurry! Less than 10 left!,dark_pattern
"I DON'T LIKE FREE GIFTS, NO THANKS",dark_pattern
We don't give out your details to third parties.,recommendation
Short Sleeve T-Shirts ,recommendation
ONLY 13 LEFT,dark_pattern
Someone in Yanchep bought a 52mm Mechanical 'Performance' Boost Gauge - Blue/White 9 seconds ago,dark_pattern
 Tires,recommendation
Someone in Egypt bought,dark_pattern
"mark in richmond hill, United States purchased a Fugoo Tough 11 minutes ago",dark_pattern
Bearded Dragon Substrates,recommendation
Toddler Girl Jumpsuits and Rompers,recommendation
Enable cookies to use the shopping cart,recommendation
Women's Go-Tos,recommendation
"This genuine Spanish espadrille impressed our buyers so much they ordered them in a variety of gorgeous colours. With its uncomplicated design, plush leather sole and a practical platform wedge, you'll have a hard time getting through the warmer months without them. They're perfect for the beach, casual weekend barbeques or brunch with the girls.",recommendation
HURRY! DON'T MISS THIS DEAL! DAYS 0 1 HRS 1 2 MINS 3 1 SECONDS,dark_pattern
"No, I'd rather pay full price.",dark_pattern
Shopping with JD,recommendation
 All Brands A-Z ,recommendation
 Light Blue Regular Fit Single Cuff Easy Care Shirt ,recommendation
Crop Tops,recommendation
Photography Projector,recommendation
 Salt Bender Tank and Shorts Combo ,recommendation
Diamond Nose Studs ,recommendation
 Military Discount ,recommendation
"Customize your phone with hundreds of grips, cases, wallets, and more.",recommendation
5338 people viewed this in the last hour,dark_pattern
Only 1 item left in stock,dark_pattern
 Add to Wish List Add to Compare ,recommendation
"No Thanks, I don't want a discount",dark_pattern
Availability: In Stock Hurry! Only 8 Left!,dark_pattern
 Italy € EUR ,recommendation
Politics And Legislation,recommendation
Fewer than 5 left!,dark_pattern
 Gift Cards Collection ,recommendation
"No Thanks, I prefer paying full price.",dark_pattern
We guarantee to match a lower online price.,recommendation
"Hurry, before it is gone! Limited time remaining!",dark_pattern
"Keith in Champaign, Illinois bought Mini USB Audio Cassette to MP3 Converterabout 56 minutes ago",dark_pattern
Select your size below and we'll email you if it comes back in stock!,recommendation
Only 867 left,dark_pattern
About Cheryl's Business Gifts,recommendation
Only 2 units left in stock,dark_pattern
You can either livechat or email our support team with any questions or concerns. We are always ready to help. ,recommendation
Only one item left in stock!,dark_pattern
Synthesis E-MTB Alloy Rear Wheel,recommendation
LIMITED TIME DEAL!,dark_pattern
Only 3 available,dark_pattern
Only 1 left in online stock,dark_pattern
Great for shine,recommendation
 Learn More ,recommendation
" Paper, Pads & Blocks Toggle category Paper, Pads & Blocks ",recommendation
Hurry! Almost Sold Out...,dark_pattern
. ,recommendation
Only 2 copies left,dark_pattern
Christmas Craft Ideas,recommendation
Limited Quantity Available,dark_pattern
"No Thanks, I Don't Like Exclusive Offers.",dark_pattern
"Trey in Sparta, United States purchased Stealth Angel Ultra Lightweight & Portable Sleeping Bag about 45 minutes ago",dark_pattern
2 items left,dark_pattern
PomeloFashion born in AsiaOn trend. Online. On the go.,recommendation
"Available, only 2 left",dark_pattern
"Someone in San diego, United States just bought Gemfield Watch 15 days ago",dark_pattern
Cowgirls,recommendation
 Rs INR ,recommendation
- +,recommendation
If I emailed you how much I love each jersey you’d have an essay coming your way!,recommendation
 Shirts & Blouses ,recommendation
JFN Ladies Flat Embroidered Slip-On Dirty Shoes Vintage Thong Sandals,recommendation
 New in ,recommendation
"There is no commitment and no minimum to buy. Please note exact shipment times may vary. To customize this program or future shipments, call customer service anytime at 1-800-THICKEN (844-2536).",dark_pattern
About Bob's,recommendation
22 people have looked at this part recently,dark_pattern
Limited Time!,dark_pattern
4 sold in last 5 hours,dark_pattern
Collin P. from Grandview Missouri just bought BURGUNDY TWO BUTTON SUIT ABOUT 5 SECONDS AGO,dark_pattern
Your order is reserved for 08:53 minutes!,dark_pattern
 Rudraksha Recommendations ,recommendation
OFFER ENDS: 09h: 09m: 55s: 0 ,dark_pattern
 Added to Favorites ,recommendation
"Kamal in Lathrop, United States purchased a Father Sons Super Slim Stretch Feather Print Long Sleeve - FS429 4 hours ago",dark_pattern
Brown Dresses,recommendation
Someone in city just added Radiance - Nebulizing Diffuser® to their cart,dark_pattern
"They look really good with my brown eyes, and they look pretty natural.",recommendation
 Data Processor Privacy Policy: https://www.appnexus.com/corporate-privacy-policy ,recommendation
Hurry! Only 1 Pair left!,dark_pattern
Plus Size Graphic Tops,recommendation
Protection Filters,recommendation
Flash Sale - Almost Over! 00 HOURS : 55 1001 MINUTES : 0550 8778 SECONDS,dark_pattern
Interactive Tent Finder,recommendation
Cart will expire in 04:53 minutes!,dark_pattern
✕,recommendation
"Hurry, Only 4 Left In Stock. Buy Now!",dark_pattern
take me back to shopping,recommendation
Only 7 left,dark_pattern
89% offers claimed. Hurry up!,dark_pattern
"No thanks, I hate cool stuff",dark_pattern
Cheryl in Ontario bought 100% Organic Reishi Mushroom Powder 100g about 16 minutes ago,dark_pattern
20 units left,dark_pattern
High demand,dark_pattern
3642 BOUGHT,dark_pattern
5 in stock,dark_pattern
"Nancy in Pennsylvania purchased 24"" Italian Sterling Silver Milano Twist Adjustable Chain",dark_pattern
Solar Powered Paw Print Ground Light,recommendation
Only 1 left,dark_pattern
Candy Melts,recommendation
Romantic Ball Gown Tulle Spaghetti Sleeveless Tier Flower Dirl Dress,recommendation
"Abbie in Calwell, Australia purchased Shark Bite Socks about 1 hour ago",dark_pattern
Last purchase was 18 minutes ago by someone from Dublin,dark_pattern
7 users have looked at this product in the past 6 minutes,dark_pattern
Crystal Shivlingas ,recommendation
Facebook icon,recommendation
 Midleton Very Rare ,recommendation
Pillow & Foam Bed Wedges,recommendation
"Happiness is to hold flowers in both hands. Furthermore, flowers make for an integral part of all occasions and celebrations........ Read More...",recommendation
 Contact Support ,recommendation
Only 7 in Stock!,dark_pattern
Use the left and right arrow keys to navigate the Menu. Use the enter key to activate the submenu on a navigation item. Use escape key to close the submenu. ,recommendation
Score! You've Qualified for a Checkout Bonus,dark_pattern
"Someone in Cashmere bought a 
RCM Cosworth Timing Belt Kit 99-02MY EJ20/22/251 hour ago",dark_pattern
"No thanks, I don't like FREE stuff.",dark_pattern
"No thanks, I just want the item",dark_pattern
ONLY 1 LEFT IN STOCK,dark_pattern
Trending now! Added to basket 38 times today,dark_pattern
 Love the way you pay ,recommendation
Homeware Trends,recommendation
Victoria Victoria Beckham,recommendation
"In stock, only 1 products left",dark_pattern
LAST 1 LEFT,dark_pattern
 Rain Boots ,recommendation
only 2 left in stock,dark_pattern
"No thanks, I don't like deals.",dark_pattern
Exterior Accessories,recommendation
"Size low on stock, only 1 item left",dark_pattern
Strength & Functional Training,recommendation
8 people have this in their bag right now.,dark_pattern
Motion Control System,recommendation
11 people viewed this today!,dark_pattern
View All Home Accents,recommendation
SUBSCRIPTION SUCCESSFUL. THANK YOU!,recommendation
 Lawn Mowers ,recommendation
Sale Clothing,recommendation
 Fashion Floral Short Sleeve Dress ,recommendation
How about one of these hot sellers?,dark_pattern
Only 3 left,dark_pattern
"Now 20% off, hurry limited time offer!",dark_pattern
Boys Red School Uniforms,recommendation
"No thanks, I don't want a free gift.",dark_pattern
"Hurry! Sale Ends In:

02:59:50",dark_pattern
 info@chainedandable.com ,recommendation
"NO, I'D RATHER PAY FULL PRICE",dark_pattern
activate within 10:00,dark_pattern
There is only one product left!,dark_pattern
00DAYS00HOURS47MINUTES36SECONDS SALE ENDS ONCE COUNTER HITS ZERO,dark_pattern
SAA Standard Membership - Credit/Debit Card - Automatic Annual Fee,recommendation
 Laundry & Cleaning ,recommendation
"Only 3 left, order soon",dark_pattern
 Entertainment Centers & TV Stands ,recommendation
"No, I don't feel lucky",dark_pattern
STAY IN THE LOOP!,recommendation
1 left in stock. Hurry!,dark_pattern
Blue Raspberry,recommendation
Your cart is reserved for 09:35 minutes.,dark_pattern
LIMITED TIME ONLY: FREE SHIPPING TO SELECT COUNTRIES ON ORDERS OVER $100!,dark_pattern
ONLY A FEW LEFT!,dark_pattern
"No thanks, I like full price",dark_pattern
HIGH DEMAND,dark_pattern
JFN Crew Neck Floral Vacation T-Shirt/Tee,recommendation
ONLY A FEW LEFT,dark_pattern
 Indoor Festive Lights ,recommendation
"EastwoodModern, sleek and enchanting, the Eastwood Collection provides comfortable seating while still looking mid-century magnificent.",recommendation
 Synthesis Alloy Collection ,recommendation
MOST POPULAR,dark_pattern
"We'd like to send you weekly emails packed full of our lovely products, clearance goodies and cool stuff to win. You can unsubscribe at any time. If you DON'T want to receive these emails, please tick this box. We'd like to send you the occasional brochure so you can get a regular fix of our lovely product! You can unsubscribe at any time. If you DON'T want to receive these brochures, please tick this box. We'd like to introduce you to other brands you might love who will post you the occasional brochure. You can opt out of this at any time. If you DON'T want to receive these brochures, please tick this box.",dark_pattern
Occasion: Anniversary,recommendation
8 people have viewed this product today!,dark_pattern
30 people have purchased this item,dark_pattern
Musical Toys,recommendation
"Chelsea in Burlington, Wisconsin bought Take Out The Boat Jumpsuit, Blackabout 13 minutes ago",dark_pattern
"Skin Concerns: Treats mild to moderate acne (including whiteheads, blackheads, pimples, and hormonal acne) and excess oiliness.",recommendation
Limited Time Offer!,dark_pattern
Events and Entertainment,recommendation
About UsNews & Articles,recommendation
Almost gone! Only 3 left In Stock,dark_pattern
 Low Maintenance Plants ,recommendation
 Men's Apparel Collection ,recommendation
 View All Parts ,recommendation
"We are one of the best online printing technology & solution company successfully serving local and international customers to cherish the joy, love and precious moments in life with various products. Being an instrument to spread your joy and love in a beautiful way we take pride in providing the best quality services. ",recommendation
3 people are looking at this product,dark_pattern
38 people are viewing this,dark_pattern
"no thanks, I don't like to save",dark_pattern
00 HRS 57 MINS 56 SECS,dark_pattern
Shop all interactive whiteboards,recommendation
Sign up to stay up to date on all White Cloud news and savings!,recommendation
"Stacey in Saint Marys, United States purchased Extra Long (10 Ft) Fiber Cloth Sync & Charge USB Android Cable - Assorted Colors about 30 minutes ago",dark_pattern
Hurry! Only 6 left in stock!,dark_pattern
Only 1 Left in this Size!,dark_pattern
These pieces are not yet in stock but will be shipped as soon as they are available. The estimated ship date will be noted on the product page.,recommendation
"Our website implements the ARIA attributes (Accessible Rich Internet Applications) technique, alongside various behavioral changes, to ensure blind users visiting with screen-readers can read, comprehend, and enjoy the website’s functions. As soon as a user with a screen-reader enters your site, they immediately receive a prompt to enter the Screen-Reader Profile so they can browse and operate your site effectively. Here’s how our website covers some of the most important screen-reader requirements:",recommendation
Only 7 left!,dark_pattern
 Yearly ,recommendation
" to resolve the issue, or ",recommendation
Shop by Activity,recommendation
 Home » ,recommendation
Lace Front African American Wigs,recommendation
SRX Remotes,recommendation
 PAVILION LONG SLEEVE SHIRT DRESS Cornflower Stripe ,recommendation
"Son in Suisun City, United States purchased Commander Lex",dark_pattern
All Brands A-Z ,recommendation
Icon MTB Socks - Black/Green,recommendation
Focus remotes,recommendation
3DAYS124606,dark_pattern
"To cancel your order before it ships, call us.",dark_pattern
Signup for email updates from Car and Truck Remotes!,recommendation
"Easy, awesome! ready to go. Held a charge first night",recommendation
More than 752 users are adding shapewear to their cart. Is your size left?,dark_pattern
Newborn & InfantYouthAdjustableFlexSnapbacksSale Items- View All -,recommendation
Flat Top,recommendation
CPUs & Processors,recommendation
Brand Directory ,recommendation
"No, I don't feel lucky.",dark_pattern
Only 2 left in stock. Make it yours.,dark_pattern
